"LLAVEHOG","LLAVEVIV","P2_8","FOLIO","VIV_SEL","HOGAR","EST_DIS","UPM_DIS","FAC_HOG"
"09739031","0973903","01","09739","03","1","107","01301",3306
"09740031","0974003","01","09740","03","1","128","01508",2001
"09741021","0974102","01","09741","02","1","186","02143",1518
"09742121","0974212","03","09742","12","1","067","00923",1581
"09743051","0974305","02","09743","05","1","114","01400",3262
"09744171","0974417","01","09744","17","1","155","01818",1651
"09745051","0974505","01","09745","05","1","098","01187",1422
"09746041","0974604","02","09746","04","1","049","00650",3248
"09747061","0974706","01","09747","06","1","052","00770",1405
"09748011","0974801","01","09748","01","1","041","00475",4150
"09749011","0974901","02","09749","01","1","029","00280",1652
"09750031","0975003","01","09750","03","1","045","00523",3117
"09751071","0975107","01","09751","07","1","109","01374",2508
"09752131","0975213","03","09752","13","1","020","00224",779
"09753011","0975301","01","09753","01","1","044","00488",3274
"09754021","0975402","01","09754","02","1","181","02094",2676
"09755051","0975505","01","09755","05","1","034","00409",731
"09756021","0975602","03","09756","02","1","009","00064",3722
"09757021","0975702","04","09757","02","1","184","02131",2562
"09758191","0975819","02","09758","19","1","038","00445",7240
"09759011","0975901","02","09759","01","1","092","01129",5118
"09760061","0976006","02","09760","06","1","179","02088",1811
"09761011","0976101","02","09761","01","1","020","00222",977
"09762201","0976220","01","09762","20","1","117","01413",3844
"09763131","0976313","00","09763","13","1","155","01821",1493
"09764021","0976402","02","09764","02","1","023","00242",779
"09765171","0976517","02","09765","17","1","021","00228",784
"09766201","0976620","01","09766","20","1","063","00883",3042
"09767051","0976705","01","09767","05","1","143","01681",2188
"09768011","0976801","01","09768","01","1","101","01218",1072
"09769151","0976915","01","09769","15","1","155","01819",1628
"09770021","0977002","03","09770","02","1","031","00386",1676
"09771151","0977115","01","09771","15","1","136","01592",1094
"09772051","0977205","02","09772","05","1","050","00680",4276
"09773101","0977310","00","09773","10","1","111","01383",3212
"09774041","0977404","02","09774","04","1","023","00244",752
"09775011","0977501","01","09775","01","1","163","01922",1856
"09776031","0977603","02","09776","03","1","085","01041",12342
"09777181","0977718","01","09777","18","1","083","01023",11415
"09778161","0977816","02","09778","16","1","136","01592",1094
"09779161","0977916","02","09779","16","1","008","00062",1927
"09780021","0978002","01","09780","02","1","116","01409",5069
"09781151","0978115","00","09781","15","1","037","00443",3934
"09782141","0978214","02","09782","14","1","179","02088",1811
"09783011","0978301","01","09783","01","1","040","00466",3901
"09784141","0978414","01","09784","14","1","067","00918",1831
"09785121","0978512","01","09785","12","1","149","01741",2121
"09786051","0978605","02","09786","05","1","044","00506",2740
"09787041","0978704","02","09787","04","1","105","01251",2799
"09788041","0978804","03","09788","04","1","079","00994",7315
"09789031","0978903","02","09789","03","1","132","01551",1406
"09790161","0979016","04","09790","16","1","075","00966",3387
"09791091","0979109","02","09791","09","1","187","02147",1565
"09792181","0979218","01","09792","18","1","142","01676",2626
"09793021","0979302","01","09793","02","1","097","01169",1663
"09794051","0979405","01","09794","05","1","086","01070",12734
"09795041","0979504","03","09795","04","1","082","01020",15428
"09796021","0979602","01","09796","02","1","044","00487",3392
"09797151","0979715","02","09797","15","1","166","01971",658
"09798011","0979801","04","09798","01","1","108","01367",3056
"09799011","0979901","01","09799","01","1","030","00339",1541
"09800091","0980009","01","09800","09","1","187","02146",1688
"09801201","0980120","02","09801","20","1","136","01590",1225
"09802041","0980204","02","09802","04","1","104","01245",896
"09803041","0980304","00","09803","04","1","095","01154",485
"09804021","0980402","00","09804","02","1","054","00811",1294
"09805101","0980510","00","09805","10","1","143","01679",2282
"09806011","0980601","01","09806","01","1","107","01324",3029
"09807031","0980703","02","09807","03","1","030","00349",1476
"09808091","0980809","01","09808","09","1","090","01117",3299
"09809041","0980904","00","09809","04","1","029","00311",1588
"09810141","0981014","01","09810","14","1","063","00882",3147
"09811111","0981111","02","09811","11","1","179","02088",1811
"09812011","0981201","01","09812","01","1","048","00589",3580
"09813051","0981305","02","09813","05","1","178","02086",1819
"09814021","0981402","02","09814","02","1","011","00134",2795
"09815031","0981503","01","09815","03","1","016","00168",683
"09816041","0981604","01","09816","04","1","163","01920",1873
"09817021","0981702","01","09817","02","1","015","00154",728
"09818051","0981805","02","09818","05","1","139","01620",1454
"09819031","0981903","04","09819","03","1","050","00722",3217
"09820021","0982002","04","09820","02","1","050","00758",1172
"09821051","0982105","00","09821","05","1","125","01465",3729
"09822171","0982217","00","09822","17","1","173","02041",4774
"09823051","0982305","02","09823","05","1","119","01416",4593
"09824111","0982411","00","09824","11","1","039","00451",3817
"09825051","0982505","01","09825","05","1","044","00503",2774
"09826031","0982603","02","09826","03","1","049","00607",4573
"09827041","0982704","01","09827","04","1","162","01888",1654
"09828061","0982806","02","09828","06","1","142","01676",2626
"09829021","0982902","02","09829","02","1","058","00840",6057
"09829022","0982902","01","09829","02","2","058","00840",6057
"09830051","0983005","01","09830","05","1","139","01635",1284
"09831051","0983105","02","09831","05","1","029","00300",1661
"09832041","0983204","02","09832","04","1","185","02141",1249
"09833021","0983302","01","09833","02","1","150","01756",2507
"09834031","0983403","01","09834","03","1","040","00469",3459
"09835031","0983503","02","09835","03","1","039","00455",3338
"09836021","0983602","01","09836","02","1","005","00039",1139
"09837191","0983719","00","09837","19","1","111","01378",4169
"09838021","0983802","01","09838","02","1","157","01837",2715
"09839011","0983901","02","09839","01","1","023","00245",744
"09840031","0984003","01","09840","03","1","087","01101",9942
"09841011","0984101","03","09841","01","1","044","00495",2970
"09842031","0984203","02","09842","03","1","163","01917",1920
"09843021","0984302","02","09843","02","1","048","00562",4673
"09844011","0984401","01","09844","01","1","050","00720",3279
"09845011","0984501","03","09845","01","1","034","00396",778
"09846181","0984618","02","09846","18","1","111","01381",3504
"09847031","0984703","00","09847","03","1","107","01300",3331
"09848021","0984802","01","09848","02","1","048","00599",2791
"09849181","0984918","02","09849","18","1","068","00928",1288
"09850121","0985012","00","09850","12","1","101","01218",1072
"09851031","0985103","02","09851","03","1","151","01790",1603
"09852031","0985203","02","09852","03","1","157","01836",3583
"09853031","0985303","01","09853","03","1","145","01702",2704
"09854021","0985402","02","09854","02","1","170","02020",1036
"09855131","0985513","01","09855","13","1","075","00966",3387
"09856011","0985601","01","09856","01","1","093","01138",4351
"09857041","0985704","02","09857","04","1","046","00543",3376
"09858011","0985801","00","09858","01","1","108","01342",3404
"09859041","0985904","02","09859","04","1","044","00512",2443
"09860031","0986003","02","09860","03","1","030","00340",1528
"09861131","0986113","05","09861","13","1","116","01406",6756
"09862051","0986205","02","09862","05","1","044","00493",3043
"09863071","0986307","01","09863","07","1","153","01812",2385
"09864041","0986404","02","09864","04","1","085","01056",9925
"09865011","0986501","00","09865","01","1","006","00050",1373
"09866191","0986619","01","09866","19","1","180","02092",2522
"09867051","0986705","01","09867","05","1","049","00618",4123
"09868061","0986806","01","09868","06","1","178","02084",2239
"09869051","0986905","00","09869","05","1","056","00833",4741
"09870031","0987003","02","09870","03","1","029","00307",1605
"09871171","0987117","00","09871","17","1","071","00938",2501
"09872051","0987205","04","09872","05","1","108","01356",3261
"09873061","0987306","01","09873","06","1","117","01412",4714
"09874051","0987405","02","09874","05","1","162","01869",1745
"09875011","0987501","01","09875","01","1","090","01117",3299
"09876021","0987602","01","09876","02","1","018","00210",738
